ID,Name,TimeStamp,Description
1,Software,2024-05-19T17:49:14.480646,
2,Feierabend,2024-05-19T17:49:37.701849,
3,Meeting,2024-05-19T17:54:03.527213,
4,Meeting,2024-05-19T17:54:09.124777,
5,Feierabend,2024-05-19T17:54:13.174600,
6,Organisation,2024-05-20T15:48:08.151570,
7,Mails,2024-05-20T15:55:56.444163,
8,Organisation,2024-05-20T15:58:37.185920,
9,Break,2024-05-20T17:30:16.664545,
10,Organisation,2024-05-20T17:30:31.283506,
11,Patents,2024-05-20T17:43:18.329009,
12,Feierabend,2024-05-20T19:25:22.131037,					
1,Organisation,2024-05-21T08:56:01.952737,
2,Break,2024-05-21T09:01:48.092532,
3,Mails,2024-05-21T09:10:00.873517,
4,Meeting,2024-05-21T09:31:16.927912,
5,Planning,2024-05-21T09:49:57.500887,
6,Personal,2024-05-21T09:56:55.853034,
7,Planning,2024-05-21T10:18:37.422557,
8,Break,2024-05-21T13:15:05.143451,
9,Meeting,2024-05-21T13:38:10.405554,
10,Patents,2024-05-21T14:59:23.859661,
11,Meeting,2024-05-21T16:23:29.847832,
12,Personal,2024-05-21T17:14:05.338053,
13,Planning,2024-05-21T17:30:17.708224,
14,Feierabend,2024-05-21T17:50:40.522805,
15,Organisation,2024-05-22T09:18:00.576273,
16,Meeting,2024-05-22T10:20:17.232291,
17,Organisation,2024-05-22T11:58:35.641732,
18,Break,2024-05-22T12:05:28.766396,
19,Organisation,2024-05-22T12:41:27.585114,
20,Meeting,2024-05-22T12:51:07.982560,
21,Planning,2024-05-22T14:17:07.309578,
22,Organisation,2024-05-22T15:02:52.282225,
23,Planning,2024-05-22T15:14:36.098155,
24,Software,2024-05-22T16:14:37.947340,
25,Planning,2024-05-22T16:25:54.373974,
26,Patents,2024-05-22T17:25:44.587806,
27,Meeting,2024-05-22T18:00:47.352180,
28,Feierabend,2024-05-22T20:02:04.909013,
29,Organisation,2024-05-23T09:04:49.250323,
30,Meeting,2024-05-23T10:04:45.273427,
31,Hardware,2024-05-23T10:50:12.478529,
32,Organisation,2024-05-23T11:05:58.172049,
33,Break,2024-05-23T12:12:34.262849,
34,Organisation,2024-05-23T12:52:37.308235,
35,Personal,2024-05-23T14:22:59.714296,
36,Organisation,2024-05-23T14:28:12.230990,
37,Meeting,2024-05-23T14:37:13.111311,
38,Hardware,2024-05-23T15:14:04.753303,
39,Meeting,2024-05-23T17:27:43.636881,
40,Software,2024-05-23T20:18:47.350385,
41,Feierabend,2024-05-23T20:49:57.900655,
42,Organisation,2024-05-24T08:59:15.329850,
43,Mails,2024-05-24T09:16:34.177758,
44,Organisation,2024-05-24T09:18:44.227899,
45,Mails,2024-05-24T09:24:10.074452,
46,Meeting,2024-05-24T09:36:53.530763,
47,Organisation,2024-05-24T10:17:31.954599,
48,Meeting,2024-05-24T10:49:46.257682,
49,Organisation,2024-05-24T11:27:18.666709,
50,Break,2024-05-24T12:06:32.667736,
51,Meeting,2024-05-24T12:45:35.304388,
52,Organisation,2024-05-24T14:50:25.435389,
53,Hardware,2024-05-24T16:04:02.887735,
54,Organisation,2024-05-24T16:29:36.030825,
55,Mails,2024-05-24T17:18:17.801599,
56,Hardware,2024-05-24T17:22:56.466287,
57,Software,2024-05-24T17:38:01.906166,
58,Feierabend,2024-05-24T21:47:05.323596,
56,Hardware,2024-05-24T17:22:56.466287
57,Software,2024-05-24T17:38:01.906166,
58,Feierabend,2024-05-24T21:47:05.323596,
59,Software,2024-05-26T19:35:33.938934,
60,HR,2024-05-26T19:51:54.038854,
61,Feierabend,2024-05-26T22:26:49.757067